Object,Object Type ID,Property label,Internal name,Type,Field type,Read only,Unique lookup property,Categories,Options,Pipeline stages
Contact,0-1,Marketing contact status source type,hs_marketable_reason_type,enumeration,,True,False,consent_and_suppression,Ad [AD]; Contact Import [CONTACT_IMPORT]; Conversation [CONVERSATION]; Form Submission [FORM_SUBMISSION]; Initial State [INITIAL_STATE]; Integrator Set [INTEGRATOR_SET]; User Set [USER_SET]; Workflow [WORKFLOW]; Email [EMAIL]; Sample Contact [SAMPLE_CONTACT]; Feedback Submission [FEEDBACK_SUBMISSION],
Contact,0-1,Marketing email confirmation status,hs_emailconfirmationstatus,enumeration,,True,False,identity_and_contact,Confirmed [Confirmed]; Confirmation Pending [Confirmation Pending]; Confirmation Email Sent [Confirmation Email Sent]; User clicked confirmation [User clicked confirmation]; HubSpot Rep. marked confirmed [HubSpot Rep. marked confirmed]; Customer marked confirmed [Customer marked confirmed]; Confirmed from previous behavior [Confirmed from previous behavior]; Confirmed due to form [Confirmed due to form],
Contact,0-1,Marketing Email Opt In,marketing_email_opt_in_yes,enumeration,,False,False,consent_and_suppression;explicit_a2_candidate;identity_and_contact,Yes [true]; No [false],
Contact,0-1,Marketing emails bounced,hs_email_bounce,number,,True,False,identity_and_contact;quality_and_enrichment,,
Contact,0-1,Marketing emails clicked,hs_email_click,number,,True,False,identity_and_contact,,
Contact,0-1,Marketing emails delivered,hs_email_delivered,number,,True,False,identity_and_contact,,
Contact,0-1,Marketing emails opened,hs_email_open,number,,True,False,identity_and_contact,,
Contact,0-1,Marketing emails replied,hs_email_replied,number,,True,False,identity_and_contact,,
Contact,0-1,Member email,hs_content_membership_email,string,,False,False,identity_and_contact,,
Contact,0-1,Member of State/Region Association,member_of_stateregion_association,bool,,False,False,identity_and_contact,Yes [true]; No [false],
Contact,0-1,Merged Contact IDs,hs_merged_object_ids,enumeration,,True,False,explicit_a2_candidate;external_ids_and_associations,,
Contact,0-1,Mobile Phone Number,mobilephone,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Contact,0-1,Mustad Appreciation Program (MAP),farrier_fap_member,enumeration,,False,False,equine_and_professional,Yes [true]; No [false],
Contact,0-1,Number of Associated Deals,num_associated_deals,number,,True,False,customer_and_exclusion;explicit_a2_candidate;external_ids_and_associations,,
Contact,0-1,Number of Horses,owner_horse_count,number,,False,False,equine_and_professional;explicit_a2_candidate;ownership_and_routing,,
Contact,0-1,Opted out of all email from: Mustad USA,business_unit_optout_18640656,enumeration,,True,False,consent_and_suppression;identity_and_contact,Yes [true]; No [false],
Contact,0-1,Opted out of email: Customer Service Communication,hs_email_optout_2431422236,enumeration,,True,False,consent_and_suppression;identity_and_contact,Yes [true]; No [false],
Contact,0-1,Opted out of email: Marketing Information,hs_email_optout_2585761664,enumeration,,True,False,consent_and_suppression;identity_and_contact,Yes [true]; No [false],
Contact,0-1,Opted out of email: Marketing Information,hs_email_optout_627076427,enumeration,,True,False,consent_and_suppression;identity_and_contact,Yes [true]; No [false],
Contact,0-1,Opted out of email: One to One,hs_email_optout_627076428,enumeration,,True,False,consent_and_suppression;identity_and_contact,Yes [true]; No [false],
Contact,0-1,organisation_role,organisation_role,enumeration,,False,False,identity_and_contact,founder [founder]; admin [admin]; member [member],
Contact,0-1,Other discipline,other_discipline,string,,False,False,equine_and_professional,,
Contact,0-1,Owner assigned date,hubspot_owner_assigneddate,datetime,,True,False,ownership_and_routing,,
Contact,0-1,Owners Connected,vet_owners_connected,number,,False,False,ownership_and_routing,,
Contact,0-1,Phone Number,phone,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Contact,0-1,Postal Code,zip,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Contact,0-1,Practice Type,vet_practice_type,enumeration,,False,False,equine_and_professional,Solo ambulatory [Solo ambulatory]; Group practice [Group practice]; Hospital / Clinic [Hospital / Clinic]; University [University]; Racetrack [Racetrack],
Contact,0-1,Preferred Dealer #1,farrier_preferred_dist_1,string,,False,False,equine_and_professional,,
Contact,0-1,Primary Discipline Farrier,farrier_primary_discipline,enumeration,,False,False,equine_and_professional;explicit_a2_candidate,Racing [Racing]; Sport Horse [Sport Horse]; Western [Western]; Recreation [Recreation]; Work [Work]; Mix [Mix],
Contact,0-1,Primary Discipline Owner,owner_primary_discipline,enumeration,,False,False,equine_and_professional;explicit_a2_candidate;ownership_and_routing,Racing [Racing]; Sport horse [Sport horse]; Dressage [Dressage]; Show jumping [Show jumping]; Western [Western]; Trail [Trail]; Breeding [Breeding]; Other [Other],
Contact,0-1,Primary Horse Relationship,horse_relationship,enumeration,,False,False,equine_and_professional;explicit_a2_candidate,Trail riding [Trail riding]; Competitive rider [Competitive rider]; Horse Owner [Horse Owner]; Breeder [Breeder]; Professional trainer or coach [Professional trainer or coach]; Horse dealer or trader [Horse dealer or trader]; Farm or stable operator [Farm or stable operator]; Occasional caretaker for someone else's horses [Occasional caretaker for someone else's horses]; Other [Other],
Contact,0-1,Primary Product Line,farrier_primary_product,string,,False,False,equine_and_professional,,
Contact,0-1,Primary Speciality,vet_speciality,enumeration,,False,False,equine_and_professional,Lameness [Lameness]; Reproduction [Reproduction]; Surgery [Surgery]; Internal med [Internal med]; Dentistry [Dentistry]; Sports med [Sports med]; General [General],
